created_at,text,username,location
2025-05-01 08:15:23,"The new lecture halls at Unilag are top-notch! Spacious, well-lit, and those projectors actually work! #UnilagVibes",student_unilag1,Lagos
2025-05-01 12:30:45,Why is the Wi-Fi at OAU always down? Can’t even access the e-learning platform for assignments. Frustrating! #OAUstruggles,oaustudent22,Ifé
2025-05-02 09:22:10,"Just moved into AUL hostel. Modern facilities, clean bathrooms, but the internet is spotty. Fix it, please! #AULife",aul_freshie,Urban
2025-05-02 14:50:33,The cafeteria at UI is a lifesaver. Affordable food and open late. Wish they had more vegan options though. #UIstudent,ui_girl01,Ibadan
2025-05-03 10:05:12,Labs at Covenant Uni are world-class! Modern equipment and accessible. Makes studying CS so much easier. #CovenantPride,covenant_geek,Ota
2025-05-03 16:20:55,UNN restrooms are a mess. Always dirty and half the taps don’t work. Admin needs to step up! #UNNissues,unn_student23,Nsukka
2025-05-04 07:45:30,New hostel at ABU is amazing! Spacious rooms and Wi-Fi everywhere. Finally feels like home. #ABUlife,abu_freshman,Zaria
2025-05-04 13:10:15,Transportation at FUTO is a nightmare. Buses never on time and overcrowded. Fix this! #FUTOprobs,futo_engineer,Owerri
2025-05-05 11:25:40,The library at Babcock has every book I need plus e-platforms. Studying here is a breeze! #BabcockUni,babcock_bookworm,Ogun
2025-05-05 18:40:22,Medical centre at UNIPORT only open 9-5? What about emergencies? This is ridiculous! #UNIPORTrants,uniport_guy,Port Harcourt
2025-05-06 09:00:50,Classrooms at LASU are so cramped. No ventilation and projectors are ancient. Upgrade needed! #LASUstruggle,lasu_lad,Lagos
2025-05-06 15:30:12,AUL’s new ICT centre is a game-changer. Fast PCs and printing hubs. Love it! #AULtechie,aul_coder,Urban
2025-05-07 10:15:33,Why does UNIBEN Wi-Fi cut out every hour? Can’t even access ScienceDirect for research. #UNIBENwoes,uniben_scholar,Benin City
2025-05-07 17:20:44,The social hub at Covenant is always buzzing. Perfect spot to chill between classes. #CovenantVibes,covenant_chic,Ota
2025-05-08 08:55:21,UNILORIN cafeteria prices are insane! A plate of rice costs my whole allowance. #UNILORINrants,unilorin_girl,Ilorin
2025-05-08 14:10:30,New smart classrooms at UI are dope! Interactive boards and strong Wi-Fi. Learning made fun. #UIproud,ui_student07,Ibadan
2025-05-09 11:45:12,Hostel bathrooms at OAU are a health hazard. Leaking pipes and no hot water. #OAUfixit,oaustudent09,Ifé
2025-05-09 16:25:50,Labs at AUL have outdated equipment. How am I supposed to do practicals? #AULstruggles,aul_sciencenerd,Urban
2025-05-10 09:30:22,UNN’s new lecture theatre is massive and well-ventilated. Best place for classes! #UNNpraise,unn_guy01,Nsukka
2025-05-10 15:50:33,Transportation at LASU is a joke. Waited 2 hours for a shuttle. #LASUprobs,lasu_engineer,Lagos
2025-05-11 10:05:44,Babcock’s library Wi-Fi is super fast. Downloaded journals in seconds! #BabcockWins,babcock_reader,Ogun
2025-05-11 17:20:15,FUTO’s medical centre is basically non-existent. No staff after 6pm. #FUTOissues,futo_medstudent,Owerri
2025-05-12 08:45:22,"AUL’s new hostels are so modern! Clean, spacious, and Wi-Fi everywhere. #AULife",aul_freshie2,Urban
2025-05-12 14:10:30,UNIBEN cafeteria food is overpriced and tasteless. Bring back affordability! #UNIBENrants,uniben_foodie,Benin City
2025-05-13 09:25:41,Covenant’s ICT centre is a lifesaver for coding projects. 24/7 access! #CovenantTech,covenant_dev,Ota
2025-05-13 16:30:12,UNILORIN classrooms are so hot. No fans or AC. Can’t focus! #UNILORINwoes,unilorin_scholar,Ilorin
2025-05-14 10:00:50,UI’s new social hub is perfect for group study and chilling. #UIvibes,ui_coolkid,Ibadan
2025-05-14 15:45:22,UNN Wi-Fi is a myth. Haven’t connected once this semester. #UNNstruggles,unn_nerd,Nsukka
2025-05-15 08:30:33,OAU’s library has no recent books. E-platforms are down half the time. #OAUfixit,oau_booklover,Ifé
2025-05-15 14:50:44,AUL’s medical centre saved me last night. 24/7 service is a blessing! #AULpraise,aul_student03,Urban
2025-05-16 09:15:21,LASU’s lecture halls are falling apart. Leaking roofs and broken chairs. #LASUprobs,lasu_guy02,Lagos
2025-05-16 16:20:30,Babcock’s new hostel renovations are stunning. Feels like a hotel! #BabcockLife,babcock_chic,Ogun
2025-05-17 10:05:12,FUTO’s transportation system is chaotic. Buses always late. #FUTOwoes,futo_engineer2,Owerri
2025-05-17 15:30:50,UNIBEN’s labs are top-tier. Modern equipment and open to students. #UNIBENwins,uniben_sciencenerd,Benin City
2025-05-18 08:45:22,Covenant’s cafeteria is affordable and has great options. Love it! #CovenantFood,covenant_foodie,Ota
2025-05-18 14:10:33,UNILORIN’s Wi-Fi is useless. Can’t even load Google. #UNILORINrants,unilorin_coder,Ilorin
2025-05-19 09:25:44,AUL’s smart classrooms make lectures so interactive. Best uni ever! #AULvibes,aul_techie,Urban
2025-05-19 16:30:12,UI’s restrooms are disgusting. No soap or water half the time. #UIissues,ui_student08,Ibadan
2025-05-20 10:00:50,UNN’s new ICT hub is amazing. Fast internet and cool vibe. #UNNpraise,unn_dev,Nsukka
2025-05-20 15:45:22,OAU’s hostels are overcrowded. No privacy at all. #OAUstruggles,oau_girl03,Ifé
2025-05-21 08:30:33,Babcock’s medical centre is always stocked and open. Saved me twice! #BabcockWins,babcock_student,Ogun
2025-05-21 14:50:44,LASU’s library has no e-learning access. So outdated! #LASUwoes,lasu_reader,Lagos
2025-05-22 09:15:21,FUTO’s new lecture halls are spacious and cool. Love studying here! #FUTOpraise,futo_scholar,Owerri
2025-05-22 16:20:30,UNIBEN’s transportation is a mess. Missed a class waiting for a bus. #UNIBENprobs,uniben_engineer,Benin City
2025-05-23 10:05:12,Covenant’s social hubs are perfect for networking. Always lively! #CovenantVibes,covenant_networker,Ota
2025-05-23 15:30:50,UNILORIN’s labs are barely functional. Equipment from the 90s! #UNILORINrants,unilorin_sciencenerd,Ilorin
2025-05-24 08:45:22,AUL’s cafeteria is a bit pricey but the food is worth it. #AULife,aul_foodie,Urban
2025-05-24 14:10:33,UI’s Wi-Fi is so slow. Can’t even download lecture notes. #UIstruggles,ui_coder,Ibadan
2025-05-25 09:25:44,"UNN’s new hostels are a dream. Clean, modern, and comfy! #UNNpraise",unn_freshie,Nsukka
2025-05-25 16:30:12,OAU’s medical centre is understaffed. Waited hours for a check-up. #OAUissues,oau_student04,Ifé
